epochs,learning_rate,momentum,output function,hidden function,nb hidden layers,nb neurons,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
100,0.075,0.01,Identity,Identity,1.0,46.0,0.3777,0.359,0.3504,0.3385,0.3331,0.3287,0.3243,0.3217,0.3195,0.3164,0.33693,0.0003532340999999997,0.3225,0.3214,0.3239,0.3232,0.3277,0.3316,0.3373,0.3422,0.3466,0.3519,0.33283,0.00010987209999999996
100,0.075,0.01,Identity,Sigmoid,1.0,15.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.075,0.01,Identity,Sigmoid,1.0,46.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.075,0.01,Identity,ReLu,1.0,15.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.075,0.01,Identity,ReLu,1.0,46.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.075,0.01,Sigmoid,Identity,1.0,15.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.075,0.01,Sigmoid,Identity,1.0,46.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.075,0.01,Sigmoid,Sigmoid,1.0,15.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.075,0.01,Sigmoid,Sigmoid,1.0,46.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.075,0.01,Sigmoid,ReLu,1.0,15.0,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
